layer_name,type
,RetinaNet
backbone,BackboneWithFPN
backbone.body,IntermediateLayerGetter
backbone.body.conv1,Conv2d
backbone.body.bn1,FrozenBatchNorm2d
backbone.body.relu,ReLU
backbone.body.maxpool,MaxPool2d
backbone.body.layer1,Sequential
backbone.body.layer1.0,Bottleneck
backbone.body.layer1.0.conv1,Conv2d
backbone.body.layer1.0.bn1,FrozenBatchNorm2d
backbone.body.layer1.0.conv2,Conv2d
backbone.body.layer1.0.bn2,FrozenBatchNorm2d
backbone.body.layer1.0.conv3,Conv2d
backbone.body.layer1.0.bn3,FrozenBatchNorm2d
backbone.body.layer1.0.relu,ReLU
backbone.body.layer1.0.downsample,Sequential
backbone.body.layer1.0.downsample.0,Conv2d
backbone.body.layer1.0.downsample.1,FrozenBatchNorm2d
backbone.body.layer1.1,Bottleneck
backbone.body.layer1.1.conv1,Conv2d
backbone.body.layer1.1.bn1,FrozenBatchNorm2d
backbone.body.layer1.1.conv2,Conv2d
backbone.body.layer1.1.bn2,FrozenBatchNorm2d
backbone.body.layer1.1.conv3,Conv2d
backbone.body.layer1.1.bn3,FrozenBatchNorm2d
backbone.body.layer1.1.relu,ReLU
backbone.body.layer1.2,Bottleneck
backbone.body.layer1.2.conv1,Conv2d
backbone.body.layer1.2.bn1,FrozenBatchNorm2d
backbone.body.layer1.2.conv2,Conv2d
backbone.body.layer1.2.bn2,FrozenBatchNorm2d
backbone.body.layer1.2.conv3,Conv2d
backbone.body.layer1.2.bn3,FrozenBatchNorm2d
backbone.body.layer1.2.relu,ReLU
backbone.body.layer2,Sequential
backbone.body.layer2.0,Bottleneck
backbone.body.layer2.0.conv1,Conv2d
backbone.body.layer2.0.bn1,FrozenBatchNorm2d
backbone.body.layer2.0.conv2,Conv2d
backbone.body.layer2.0.bn2,FrozenBatchNorm2d
backbone.body.layer2.0.conv3,Conv2d
backbone.body.layer2.0.bn3,FrozenBatchNorm2d
backbone.body.layer2.0.relu,ReLU
backbone.body.layer2.0.downsample,Sequential
backbone.body.layer2.0.downsample.0,Conv2d
backbone.body.layer2.0.downsample.1,FrozenBatchNorm2d
backbone.body.layer2.1,Bottleneck
backbone.body.layer2.1.conv1,Conv2d
backbone.body.layer2.1.bn1,FrozenBatchNorm2d
backbone.body.layer2.1.conv2,Conv2d
backbone.body.layer2.1.bn2,FrozenBatchNorm2d
backbone.body.layer2.1.conv3,Conv2d
backbone.body.layer2.1.bn3,FrozenBatchNorm2d
backbone.body.layer2.1.relu,ReLU
backbone.body.layer2.2,Bottleneck
backbone.body.layer2.2.conv1,Conv2d
backbone.body.layer2.2.bn1,FrozenBatchNorm2d
backbone.body.layer2.2.conv2,Conv2d
backbone.body.layer2.2.bn2,FrozenBatchNorm2d
backbone.body.layer2.2.conv3,Conv2d
backbone.body.layer2.2.bn3,FrozenBatchNorm2d
backbone.body.layer2.2.relu,ReLU
backbone.body.layer2.3,Bottleneck
backbone.body.layer2.3.conv1,Conv2d
backbone.body.layer2.3.bn1,FrozenBatchNorm2d
backbone.body.layer2.3.conv2,Conv2d
backbone.body.layer2.3.bn2,FrozenBatchNorm2d
backbone.body.layer2.3.conv3,Conv2d
backbone.body.layer2.3.bn3,FrozenBatchNorm2d
backbone.body.layer2.3.relu,ReLU
backbone.body.layer3,Sequential
backbone.body.layer3.0,Bottleneck
backbone.body.layer3.0.conv1,Conv2d
backbone.body.layer3.0.bn1,FrozenBatchNorm2d
backbone.body.layer3.0.conv2,Conv2d
backbone.body.layer3.0.bn2,FrozenBatchNorm2d
backbone.body.layer3.0.conv3,Conv2d
backbone.body.layer3.0.bn3,FrozenBatchNorm2d
backbone.body.layer3.0.relu,ReLU
backbone.body.layer3.0.downsample,Sequential
